File: Users\Mutlugun\Desktop\Emre\220517\x.IRR;
RAD->Wave:648.50nm  Pix:1050  Val:  0.000  Time:25ms  Avg:1  Sm:1  Sg:0  Tc:off  SNAP  Xt:3  Ch:1  Wr:400-700 Xtrig wnmcal;
552;2.88E-04
552.5;2.74E-04
553;2.61E-04
553.5;2.51E-04
554;2.41E-04
554.5;2.31E-04
555;2.22E-04
555.5;2.10E-04
556;1.98E-04
556.5;1.90E-04
557;1.83E-04
557.5;1.75E-04
558;1.69E-04
558.5;1.64E-04
559;1.58E-04
559.5;1.55E-04
560;1.52E-04
560.5;1.47E-04
561;1.41E-04
561.5;1.36E-04
562;1.31E-04
562.5;1.24E-04
563;1.18E-04
563.5;1.14E-04
564;1.11E-04
564.5;1.09E-04
565;1.09E-04
565.5;1.08E-04
566;1.05E-04
566.5;1.04E-04
567;1.00E-04
567.5;9.50E-05
568;9.14E-05
568.5;8.93E-05
569;8.86E-05
569.5;8.74E-05
570;8.70E-05
570.5;8.68E-05
571;8.59E-05
571.5;8.92E-05
572;9.24E-05
572.5;9.21E-05
573;9.05E-05
573.5;8.97E-05
574;8.88E-05
574.5;8.98E-05
575;9.03E-05
575.5;8.84E-05
576;8.62E-05
576.5;8.49E-05
577;8.33E-05
577.5;8.35E-05
578;8.39E-05
578.5;8.41E-05
579;8.59E-05
579.5;8.78E-05
580;8.88E-05
580.5;9.20E-05
581;9.57E-05
581.5;9.80E-05
582;1.01E-04
582.5;1.03E-04
583;1.04E-04
583.5;1.09E-04
584;1.14E-04
584.5;1.17E-04
585;1.22E-04
585.5;1.25E-04
586;1.25E-04
586.5;1.30E-04
587;1.31E-04
587.5;1.31E-04
588;1.32E-04
588.5;1.34E-04
589;1.38E-04
589.5;1.47E-04
590;1.59E-04
590.5;1.71E-04
591;1.81E-04
591.5;1.92E-04
592;1.99E-04
592.5;2.08E-04
593;2.20E-04
593.5;2.29E-04
594;2.42E-04
594.5;2.54E-04
595;2.65E-04
595.5;2.74E-04
596;2.88E-04
596.5;3.05E-04
597;3.23E-04
597.5;3.46E-04
598;3.69E-04
598.5;3.88E-04
599;4.08E-04
599.5;4.31E-04
600;4.50E-04
600.5;4.76E-04
601;5.05E-04
601.5;5.33E-04
602;5.67E-04
602.5;6.04E-04
603;6.42E-04
603.5;6.81E-04
604;7.20E-04
604.5;7.61E-04
605;8.01E-04
605.5;8.43E-04
606;8.97E-04
606.5;9.52E-04
607;1.01E-03
607.5;1.07E-03
608;1.12E-03
608.5;1.18E-03
609;1.23E-03
609.5;1.29E-03
610;1.35E-03
610.5;1.41E-03
611;1.47E-03
611.5;1.53E-03
612;1.59E-03
612.5;1.65E-03
613;1.71E-03
613.5;1.76E-03
614;1.82E-03
614.5;1.87E-03
615;1.90E-03
615.5;1.94E-03
616;1.96E-03
616.5;1.99E-03
617;2.01E-03
617.5;2.02E-03
618;2.04E-03
618.5;2.04E-03
619;2.04E-03
619.5;2.05E-03
620;2.03E-03
620.5;2.01E-03
621;1.99E-03
621.5;1.97E-03
622;1.95E-03
622.5;1.93E-03
623;1.91E-03
623.5;1.88E-03
624;1.85E-03
624.5;1.81E-03
625;1.77E-03
625.5;1.71E-03
626;1.67E-03
626.5;1.63E-03
627;1.59E-03
627.5;1.56E-03
628;1.51E-03
628.5;1.47E-03
629;1.42E-03
629.5;1.38E-03
630;1.34E-03
630.5;1.30E-03
631;1.25E-03
631.5;1.21E-03
632;1.16E-03
632.5;1.12E-03
633;1.07E-03
633.5;1.03E-03
634;9.94E-04
634.5;9.53E-04
635;9.16E-04
635.5;8.80E-04
636;8.44E-04
636.5;8.12E-04
637;7.86E-04
637.5;7.58E-04
638;7.19E-04
638.5;6.84E-04
639;6.51E-04
639.5;6.19E-04
640;5.89E-04
640.5;5.63E-04
641;5.37E-04
641.5;5.07E-04
642;4.87E-04
642.5;4.71E-04
643;4.47E-04
643.5;4.26E-04
644;4.03E-04
644.5;3.80E-04
645;3.62E-04
645.5;3.45E-04
646;3.35E-04
646.5;3.28E-04
647;3.24E-04
647.5;3.15E-04
648;2.97E-04
648.5;2.82E-04
649;2.63E-04
649.5;2.50E-04
650;2.44E-04
650.5;2.35E-04
651;2.21E-04
651.5;2.05E-04
652;1.95E-04
652.5;1.84E-04
653;1.78E-04
653.5;1.75E-04
654;1.72E-04
654.5;1.64E-04
655;1.50E-04
655.5;1.38E-04
656;1.28E-04
656.5;1.23E-04
657;1.25E-04
657.5;1.24E-04
658;1.14E-04
658.5;1.07E-04
659;9.87E-05
659.5;9.26E-05
660;8.68E-05
660.5;8.18E-05
661;8.42E-05
661.5;8.87E-05
662;1.01E-04
662.5;1.13E-04
663;1.15E-04
663.5;1.03E-04
664;8.59E-05
664.5;6.84E-05
665;5.79E-05
665.5;5.32E-05
666;5.75E-05
666.5;6.95E-05
667;7.18E-05
667.5;6.95E-05
668;6.39E-05
668.5;5.04E-05
669;4.45E-05
669.5;4.28E-05
670;4.18E-05
670.5;3.70E-05
671;3.22E-05
671.5;3.11E-05
672;2.88E-05
672.5;3.09E-05
673;3.05E-05
673.5;2.20E-05
674;1.71E-05
674.5;1.45E-05
675;1.88E-05
675.5;2.93E-05
676;3.65E-05
676.5;3.93E-05
677;3.58E-05
677.5;3.03E-05
678;2.46E-05
678.5;2.15E-05
679;2.28E-05
679.5;2.39E-05
680;2.41E-05
680.5;2.00E-05
681;1.47E-05
681.5;1.32E-05
682;1.24E-05
682.5;1.82E-05
683;2.24E-05
683.5;2.10E-05
684;1.56E-05
684.5;7.90E-06
685;6.76E-06
685.5;1.25E-05
686;1.92E-05
686.5;2.23E-05
687;2.40E-05
687.5;1.64E-05
688;9.61E-06
688.5;1.08E-05
689;1.30E-05
689.5;9.51E-06
690;7.30E-06
690.5;1.11E-05
691;1.52E-05
691.5;2.15E-05
692;2.61E-05
692.5;2.14E-05
693;1.18E-05
693.5;7.53E-06
694;9.83E-06
